branch_id,date,total_revenue,room_revenue,fb_revenue,avg_daily_rate,revpar,occupancy_pct,revenue_7day_avg
1,2026-05-06,12231.64,9781.32,2450.32,132.18,122.32,74.06,12231.64
1,2026-05-07,8284.14,6847.0,1437.14,83.5,82.84,81.93,8284.14
1,2026-05-08,8585.97,6772.8,1813.17,81.6,85.86,83.39,8585.97
1,2026-05-09,12850.6,10594.08,2256.52,147.14,128.51,72.49,12850.6
1,2026-05-10,11107.2,9649.72,1457.48,126.97,111.07,75.71,11107.2
1,2026-05-11,9730.64,8034.36,1696.28,97.98,97.31,82.01,9730.64
1,2026-05-12,13251.27,11351.34,1899.93,140.14,132.51,80.73,13251.27
1,2026-05-13,9717.18,8290.2,1426.98,101.1,97.17,82.36,9717.18
1,2026-05-14,10511.46,8974.4,1537.06,113.6,105.11,79.36,10511.46
1,2026-05-15,12067.12,10098.96,1968.16,116.08,120.67,86.53,12067.12
1,2026-05-16,16137.16,13452.98,2684.18,156.43,161.37,86.28,16137.16
1,2026-05-17,15540.45,12562.05,2978.4,151.35,155.4,83.48,15540.45
1,2026-05-18,11612.95,9001.52,2611.43,102.29,116.13,87.68,11612.95
1,2026-05-19,10764.28,8693.8,2070.48,102.28,107.64,84.89,10764.28
1,2026-05-20,11472.19,8987.04,2485.15,113.76,114.72,79.33,11472.19
1,2026-05-21,8750.34,6747.72,2002.62,80.33,87.5,83.9,8750.34
1,2026-05-22,10037.92,8167.38,1870.54,104.71,100.38,78.16,10037.92
1,2026-05-23,15466.52,13271.9,2194.62,156.14,154.67,85.0,15466.52
1,2026-05-24,13786.02,11911.86,1874.16,147.06,137.86,80.72,13786.02
1,2026-05-25,12540.87,9824.8,2716.07,122.81,125.41,79.55,12540.87
1,2026-05-26,11392.28,9150.68,2241.6,118.84,113.92,76.9,11392.28
1,2026-05-27,16000.14,13071.24,2928.9,155.61,160.0,83.81,16000.14
1,2026-05-28,12520.53,9941.1,2579.43,127.45,125.21,77.59,12520.53
1,2026-05-29,13590.16,11812.68,1777.48,155.43,135.9,75.79,13590.16
1,2026-05-30,15321.26,11987.25,3334.01,159.83,153.21,75.39,15321.26
1,2026-05-31,8115.65,6450.6,1665.05,82.7,81.16,78.26,8115.65
1,2026-06-01,8481.37,6889.96,1591.41,89.48,84.81,76.97,8481.37
1,2026-06-02,13585.86,10849.3,2736.56,140.9,135.86,76.59,13585.86
1,2026-06-03,8483.44,6846.84,1636.6,90.09,84.83,76.16,8483.44
1,2026-06-04,10842.43,8910.05,1932.38,107.35,108.42,82.57,10842.43
1,2026-06-05,9171.46,7488.0,1683.46,104.0,91.71,72.04,9171.46
1,2026-06-06,10139.63,8809.68,1329.95,124.08,101.4,71.37,10139.63
1,2026-06-07,7344.3,5883.5,1460.8,84.05,73.44,70.01,7344.3
1,2026-06-08,11446.35,8822.08,2624.27,116.08,114.46,75.68,11446.35
1,2026-06-09,11794.93,9705.54,2089.39,124.43,117.95,77.79,11794.93
1,2026-06-10,7640.38,6535.69,1104.69,89.53,76.4,72.97,7640.38
1,2026-06-11,9356.14,7511.7,1844.44,107.31,93.56,70.31,9356.14
1,2026-06-12,10395.1,8545.56,1849.54,120.36,103.95,70.72,10395.1
1,2026-06-13,9436.55,8032.64,1403.91,104.32,94.37,77.05,9436.55
1,2026-06-14,10798.41,8847.54,1950.87,113.43,107.98,77.93,10798.41
1,2026-06-15,10343.23,8826.48,1516.75,113.16,103.43,77.7,10343.23
1,2026-06-16,8127.9,6385.31,1742.59,87.47,81.28,73.49,8127.9
1,2026-06-17,12114.09,9909.12,2204.97,127.04,121.14,77.75,12114.09
1,2026-06-18,8463.73,6701.76,1761.97,85.92,84.64,77.99,8463.73
1,2026-06-19,11665.6,9988.76,1676.84,126.44,116.66,79.11,11665.6
1,2026-06-20,8258.83,7103.66,1155.17,86.63,82.59,82.43,8258.83
1,2026-06-21,12740.4,9973.53,2766.87,123.13,127.4,80.53,12740.4
1,2026-06-22,14934.18,12288.98,2645.2,148.06,149.34,83.02,14934.18
1,2026-06-23,10575.19,8351.1,2224.09,103.1,105.75,81.2,10575.19
1,2026-06-24,8374.49,7189.46,1185.03,86.62,83.74,82.66,8374.49
1,2026-06-25,10645.24,8979.4,1665.84,105.64,106.45,84.53,10645.24
1,2026-06-26,11289.56,8774.92,2514.64,113.96,112.9,76.6,11289.56
1,2026-06-27,12195.75,10446.57,1749.18,128.97,121.96,81.49,12195.75
1,2026-06-28,9182.74,7461.72,1721.02,92.12,91.83,81.14,9182.74
1,2026-06-29,7752.78,6505.92,1246.86,80.32,77.53,80.61,7752.78
1,2026-06-30,14450.33,12090.9,2359.43,147.45,144.5,82.12,14450.33
1,2026-07-01,11991.91,10360.49,1631.42,116.41,119.92,89.15,11991.91
1,2026-07-02,12609.44,10071.2,2538.24,125.89,126.09,79.55,12609.44
1,2026-07-03,14508.84,12537.57,1971.27,144.11,145.09,86.63,14508.84
1,2026-07-04,12868.69,10720.56,2148.13,141.06,128.69,75.68,12868.69
1,2026-07-05,14842.71,12064.95,2777.76,148.95,148.43,80.65,14842.71
1,2026-07-06,11238.31,8672.32,2565.99,105.76,112.38,82.13,11238.31
1,2026-07-07,10128.82,7926.5,2202.32,95.5,101.29,83.25,10128.82
1,2026-07-08,8224.31,6724.66,1499.65,81.02,82.24,83.12,8224.31
1,2026-07-09,11791.55,9269.44,2522.11,111.68,117.92,82.78,11791.55
1,2026-07-10,12051.64,10024.56,2027.08,128.52,120.52,77.52,12051.64
1,2026-07-11,11000.62,9524.32,1476.3,125.32,110.01,76.35,11000.62
1,2026-07-12,14379.35,12175.11,2204.24,150.31,143.79,80.92,14379.35
1,2026-07-13,12873.95,11112.72,1761.23,146.22,128.74,76.03,12873.95
1,2026-07-14,10185.62,8500.12,1685.5,119.72,101.86,71.02,10185.62
1,2026-07-15,7842.89,6377.22,1465.67,89.82,78.43,70.97,7842.89
1,2026-07-16,10242.47,8523.55,1718.92,120.05,102.42,71.25,10242.47
1,2026-07-17,14344.12,11670.56,2673.56,153.56,143.44,76.42,14344.12
1,2026-07-18,13836.78,11285.25,2551.53,150.47,138.37,74.57,13836.78
1,2026-07-19,12104.3,10178.68,1925.62,133.93,121.04,76.42,12104.3
1,2026-07-20,12210.07,9555.12,2654.95,132.71,122.1,71.71,12210.07
1,2026-07-21,13116.25,10827.68,2288.57,146.32,131.16,73.9,13116.25
1,2026-07-22,12108.9,10256.96,1851.94,134.96,121.09,75.72,12108.9
1,2026-07-23,11540.54,9355.68,2184.86,129.94,115.41,72.04,11540.54
1,2026-07-24,10414.39,8410.5,2003.89,112.14,104.14,75.25,10414.39
1,2026-07-25,9857.55,7949.16,1908.39,111.96,98.58,71.03,9857.55
1,2026-07-26,10921.23,8680.43,2240.8,118.91,109.21,72.57,10921.23
1,2026-07-27,13327.5,10989.42,2338.08,150.54,133.28,72.93,13327.5
1,2026-07-28,10817.74,9192.4,1625.34,131.32,108.18,70.18,10817.74
1,2026-07-29,14504.36,11245.08,3259.28,146.04,145.04,77.48,14504.36
1,2026-07-30,11094.77,8895.54,2199.23,120.21,110.95,74.29,11094.77
1,2026-07-31,11070.94,9464.84,1606.1,122.92,110.71,76.88,11070.94
1,2026-08-01,12674.53,10736.1,1938.43,135.9,126.75,79.45,12674.53
1,2026-08-02,13133.56,10845.6,2287.96,135.57,131.34,80.03,13133.56
1,2026-08-03,9925.37,7999.92,1925.45,97.56,99.25,81.62,9925.37
2,2026-05-06,13007.02,10019.75,2987.27,154.15,130.07,64.74,13007.02
2,2026-05-07,7784.35,6563.99,1220.36,97.97,77.84,66.82,7784.35
2,2026-05-08,10166.45,8091.65,2074.8,132.65,101.66,61.09,10166.45
2,2026-05-09,8853.91,6866.37,1987.54,108.99,88.54,62.72,8853.91
2,2026-05-10,7924.49,6561.28,1363.21,102.52,79.24,63.84,7924.49
2,2026-05-11,13218.57,10524.36,2694.21,159.46,132.19,65.72,13218.57
2,2026-05-12,11355.39,9673.92,1681.47,134.36,113.55,71.81,11355.39
2,2026-05-13,8343.13,6878.89,1464.24,102.67,83.43,67.02,8343.13
2,2026-05-14,11387.19,9534.42,1852.77,138.18,113.87,69.47,11387.19
2,2026-05-15,12857.13,10655.96,2201.17,140.21,128.57,76.43,12857.13
2,2026-05-16,9105.31,7632.1,1473.21,109.03,91.05,69.96,9105.31
2,2026-05-17,14499.6,11444.1,3055.5,154.65,145.0,74.38,14499.6
2,2026-05-18,13227.1,10714.08,2513.02,157.56,132.27,67.64,13227.1
2,2026-05-19,8996.45,7086.1,1910.35,101.23,89.96,70.41,8996.45
2,2026-05-20,11181.59,9276.82,1904.77,138.46,111.82,67.18,11181.59
2,2026-05-21,7958.99,6634.35,1324.64,96.15,79.59,69.28,7958.99
2,2026-05-22,8646.21,7212.78,1433.43,97.47,86.46,73.57,8646.21
2,2026-05-23,10601.39,8934.03,1667.36,141.81,106.01,62.79,10601.39
2,2026-05-24,13875.68,11049.02,2826.66,155.62,138.76,70.87,13875.68
2,2026-05-25,10593.33,8257.92,2335.41,119.68,105.93,69.45,10593.33
2,2026-05-26,8042.59,6832.8,1209.79,105.12,80.43,65.46,8042.59
2,2026-05-27,7230.57,6257.38,973.19,102.58,72.31,61.35,7230.57
2,2026-05-28,9028.31,7792.1,1236.21,116.3,90.28,66.71,9028.31
2,2026-05-29,9711.69,8398.08,1313.61,131.22,97.12,63.59,9711.69
2,2026-05-30,12395.7,10132.32,2263.38,153.52,123.96,65.95,12395.7
2,2026-05-31,11319.83,8947.2,2372.63,139.8,113.2,64.43,11319.83
2,2026-06-01,12643.29,10525.2,2118.09,150.36,126.43,70.13,12643.29
2,2026-06-02,10561.14,8724.02,1837.12,140.71,105.61,62.19,10561.14
2,2026-06-03,8668.06,6751.37,1916.69,114.43,86.68,58.55,8668.06
