branch_id,date,occupancy_pct,occupancy_7day_avg,occupancy_30day_avg,total_rooms,occupied_rooms
1,2026-05-06,74.06,74.06,74.06,100,74
1,2026-05-07,81.93,81.93,81.93,100,82
1,2026-05-08,83.39,83.39,83.39,100,83
1,2026-05-09,72.49,72.49,72.49,100,72
1,2026-05-10,75.71,75.71,75.71,100,76
1,2026-05-11,82.01,82.01,82.01,100,82
1,2026-05-12,80.73,80.73,80.73,100,81
1,2026-05-13,82.36,82.36,82.36,100,82
1,2026-05-14,79.36,79.36,79.36,100,79
1,2026-05-15,86.53,86.53,86.53,100,87
1,2026-05-16,86.28,86.28,86.28,100,86
1,2026-05-17,83.48,83.48,83.48,100,83
1,2026-05-18,87.68,87.68,87.68,100,88
1,2026-05-19,84.89,84.89,84.89,100,85
1,2026-05-20,79.33,79.33,79.33,100,79
1,2026-05-21,83.9,83.9,83.9,100,84
1,2026-05-22,78.16,78.16,78.16,100,78
1,2026-05-23,85.0,85.0,85.0,100,85
1,2026-05-24,80.72,80.72,80.72,100,81
1,2026-05-25,79.55,79.55,79.55,100,80
1,2026-05-26,76.9,76.9,76.9,100,77
1,2026-05-27,83.81,83.81,83.81,100,84
1,2026-05-28,77.59,77.59,77.59,100,78
1,2026-05-29,75.79,75.79,75.79,100,76
1,2026-05-30,75.39,75.39,75.39,100,75
1,2026-05-31,78.26,78.26,78.26,100,78
1,2026-06-01,76.97,76.97,76.97,100,77
1,2026-06-02,76.59,76.59,76.59,100,77
1,2026-06-03,76.16,76.16,76.16,100,76
1,2026-06-04,82.57,82.57,82.57,100,83
1,2026-06-05,72.04,72.04,72.04,100,72
1,2026-06-06,71.37,71.37,71.37,100,71
1,2026-06-07,70.01,70.01,70.01,100,70
1,2026-06-08,75.68,75.68,75.68,100,76
1,2026-06-09,77.79,77.79,77.79,100,78
1,2026-06-10,72.97,72.97,72.97,100,73
1,2026-06-11,70.31,70.31,70.31,100,70
1,2026-06-12,70.72,70.72,70.72,100,71
1,2026-06-13,77.05,77.05,77.05,100,77
1,2026-06-14,77.93,77.93,77.93,100,78
1,2026-06-15,77.7,77.7,77.7,100,78
1,2026-06-16,73.49,73.49,73.49,100,73
1,2026-06-17,77.75,77.75,77.75,100,78
1,2026-06-18,77.99,77.99,77.99,100,78
1,2026-06-19,79.11,79.11,79.11,100,79
1,2026-06-20,82.43,82.43,82.43,100,82
1,2026-06-21,80.53,80.53,80.53,100,81
1,2026-06-22,83.02,83.02,83.02,100,83
1,2026-06-23,81.2,81.2,81.2,100,81
1,2026-06-24,82.66,82.66,82.66,100,83
1,2026-06-25,84.53,84.53,84.53,100,85
1,2026-06-26,76.6,76.6,76.6,100,77
1,2026-06-27,81.49,81.49,81.49,100,81
1,2026-06-28,81.14,81.14,81.14,100,81
1,2026-06-29,80.61,80.61,80.61,100,81
1,2026-06-30,82.12,82.12,82.12,100,82
1,2026-07-01,89.15,89.15,89.15,100,89
1,2026-07-02,79.55,79.55,79.55,100,80
1,2026-07-03,86.63,86.63,86.63,100,87
1,2026-07-04,75.68,75.68,75.68,100,76
1,2026-07-05,80.65,80.65,80.65,100,81
1,2026-07-06,82.13,82.13,82.13,100,82
1,2026-07-07,83.25,83.25,83.25,100,83
1,2026-07-08,83.12,83.12,83.12,100,83
1,2026-07-09,82.78,82.78,82.78,100,83
1,2026-07-10,77.52,77.52,77.52,100,78
1,2026-07-11,76.35,76.35,76.35,100,76
1,2026-07-12,80.92,80.92,80.92,100,81
1,2026-07-13,76.03,76.03,76.03,100,76
1,2026-07-14,71.02,71.02,71.02,100,71
1,2026-07-15,70.97,70.97,70.97,100,71
1,2026-07-16,71.25,71.25,71.25,100,71
1,2026-07-17,76.42,76.42,76.42,100,76
1,2026-07-18,74.57,74.57,74.57,100,75
1,2026-07-19,76.42,76.42,76.42,100,76
1,2026-07-20,71.71,71.71,71.71,100,72
1,2026-07-21,73.9,73.9,73.9,100,74
1,2026-07-22,75.72,75.72,75.72,100,76
1,2026-07-23,72.04,72.04,72.04,100,72
1,2026-07-24,75.25,75.25,75.25,100,75
1,2026-07-25,71.03,71.03,71.03,100,71
1,2026-07-26,72.57,72.57,72.57,100,73
1,2026-07-27,72.93,72.93,72.93,100,73
1,2026-07-28,70.18,70.18,70.18,100,70
1,2026-07-29,77.48,77.48,77.48,100,77
1,2026-07-30,74.29,74.29,74.29,100,74
1,2026-07-31,76.88,76.88,76.88,100,77
1,2026-08-01,79.45,79.45,79.45,100,79
1,2026-08-02,80.03,80.03,80.03,100,80
1,2026-08-03,81.62,81.62,81.62,100,82
2,2026-05-06,64.74,64.74,64.74,100,65
2,2026-05-07,66.82,66.82,66.82,100,67
2,2026-05-08,61.09,61.09,61.09,100,61
2,2026-05-09,62.72,62.72,62.72,100,63
2,2026-05-10,63.84,63.84,63.84,100,64
2,2026-05-11,65.72,65.72,65.72,100,66
2,2026-05-12,71.81,71.81,71.81,100,72
2,2026-05-13,67.02,67.02,67.02,100,67
2,2026-05-14,69.47,69.47,69.47,100,69
2,2026-05-15,76.43,76.43,76.43,100,76
2,2026-05-16,69.96,69.96,69.96,100,70
2,2026-05-17,74.38,74.38,74.38,100,74
2,2026-05-18,67.64,67.64,67.64,100,68
2,2026-05-19,70.41,70.41,70.41,100,70
2,2026-05-20,67.18,67.18,67.18,100,67
2,2026-05-21,69.28,69.28,69.28,100,69
2,2026-05-22,73.57,73.57,73.57,100,74
2,2026-05-23,62.79,62.79,62.79,100,63
2,2026-05-24,70.87,70.87,70.87,100,71
2,2026-05-25,69.45,69.45,69.45,100,69
2,2026-05-26,65.46,65.46,65.46,100,65
2,2026-05-27,61.35,61.35,61.35,100,61
2,2026-05-28,66.71,66.71,66.71,100,67
2,2026-05-29,63.59,63.59,63.59,100,64
2,2026-05-30,65.95,65.95,65.95,100,66
2,2026-05-31,64.43,64.43,64.43,100,64
2,2026-06-01,70.13,70.13,70.13,100,70
2,2026-06-02,62.19,62.19,62.19,100,62
2,2026-06-03,58.55,58.55,58.55,100,59
2,2026-06-04,62.94,62.94,62.94,100,63
2,2026-06-05,62.76,62.76,62.76,100,63
2,2026-06-06,67.07,67.07,67.07,100,67
2,2026-06-07,64.82,64.82,64.82,100,65
2,2026-06-08,62.86,62.86,62.86,100,63
2,2026-06-09,67.34,67.34,67.34,100,67
2,2026-06-10,56.88,56.88,56.88,100,57
2,2026-06-11,59.33,59.33,59.33,100,59
2,2026-06-12,58.52,58.52,58.52,100,59
2,2026-06-13,61.1,61.1,61.1,100,61
2,2026-06-14,57.66,57.66,57.66,100,58
2,2026-06-15,66.28,66.28,66.28,100,66
